               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.027565,           0.0059336,                   0,             0.72505,             0.64078,              0.6216,             0.27734,            0.047934,            0.010037,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.027641,           0.0060549,                   0,             0.65507,             0.67314,              0.5983,             0.26226,            0.048976,            0.010335,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.026607,           0.0058979,                   0,             0.66068,             0.64725,             0.58269,             0.26216,            0.049407,            0.010325,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.026234,           0.0059184,                   0,             0.61681,             0.69805,             0.57709,             0.25409,            0.049786,            0.010513,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.026682,           0.0059317,                   0,             0.68987,             0.61812,             0.60346,              0.2708,            0.048901,            0.010647,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.027091,           0.0059264,                   0,             0.71117,             0.68285,             0.64441,             0.27553,            0.048406,            0.010022,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.026581,           0.0058992,                   0,             0.69264,             0.65372,             0.57928,             0.25637,            0.050013,            0.010845,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.026092,           0.0058017,                   0,             0.66304,             0.64953,             0.59867,              0.2762,            0.049234,            0.010407,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.025797,           0.0058011,                   0,             0.66945,             0.65542,             0.61242,             0.27026,            0.048584,            0.010881,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.025839,           0.0058026,                   0,             0.66222,              0.6662,             0.59558,             0.26528,            0.048873,             0.01058,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.026111,           0.0057404,                   0,             0.66909,             0.66745,             0.59935,             0.25336,            0.048825,            0.010365,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.026325,           0.0058497,                   0,             0.64471,             0.65773,             0.60369,             0.27083,            0.049069,            0.010816,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.025588,           0.0056512,                   0,             0.69215,             0.65372,             0.61576,             0.26996,             0.04904,             0.01075,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.025509,           0.0056199,                   0,             0.70425,             0.62783,             0.60629,             0.27376,            0.048706,            0.010369,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.025464,           0.0057673,                   0,             0.67579,             0.67458,             0.61185,              0.2612,             0.04917,            0.010408,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.024966,           0.0056578,                   0,             0.65079,             0.68285,             0.62659,             0.27191,            0.048254,            0.010256,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.024426,           0.0057027,                   0,             0.66302,              0.6877,             0.62068,             0.27999,            0.048707,            0.010437,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.024638,           0.0056572,                   0,             0.64072,             0.69903,             0.60875,             0.28159,            0.047602,            0.010201,                   0,             0.00637,             0.00637,             0.00637
                 112,             0.02496,           0.0055984,                   0,             0.65437,             0.69236,             0.63909,             0.28344,            0.048298,            0.010142,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.024729,           0.0056476,                   0,             0.62997,             0.70227,             0.60004,             0.27518,            0.048325,            0.010641,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.023991,           0.0055587,                   0,              0.6781,             0.72492,             0.63492,             0.28418,            0.047218,            0.010567,                   0,            0.006271,            0.006271,            0.006271
