                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5126,                 1.1829,                 1.4075,                0.60987,                0.61373,                0.61182,                 0.2544,                 1.7746,                 1.5093,                 1.6137,               0.008548,               0.008548,               0.008548
                     46,                 1.4905,                  1.166,                 1.3843,                0.59657,                0.62832,                0.61371,                0.24933,                 1.8216,                 1.5584,                 1.6137,               0.008515,               0.008515,               0.008515
                     47,                 1.4915,                 1.1486,                  1.395,                0.71728,                0.60976,                0.64991,                0.27445,                 1.8077,                 1.4943,                 1.6062,               0.008482,               0.008482,               0.008482
                     48,                 1.4833,                 1.1699,                 1.3737,                0.69759,                0.60393,                0.61712,                0.25376,                 1.8444,                 1.5383,                   1.64,               0.008449,               0.008449,               0.008449
                     49,                 1.4846,                 1.1491,                  1.377,                 0.5778,                0.60086,                0.56877,                 0.2498,                 1.8909,                 1.5256,                  1.662,               0.008416,               0.008416,               0.008416
                     50,                 1.4827,                 1.1253,                 1.3728,                 0.6468,                0.63519,                0.64629,                0.27057,                 1.7909,                 1.5149,                 1.5923,               0.008383,               0.008383,               0.008383
                     51,                 1.4759,                 1.1287,                 1.3701,                0.62618,                 0.5794,                0.57736,                0.23411,                  1.837,                 1.6127,                 1.5975,                0.00835,                0.00835,                0.00835
                     52,                 1.4761,                 1.1139,                 1.3472,                0.67024,                0.58369,                0.63079,                0.26787,                 1.8403,                 1.4872,                 1.6648,               0.008317,               0.008317,               0.008317
                     53,                 1.4593,                 1.1031,                 1.3523,                0.71803,                0.61803,                 0.6608,                0.26803,                   1.81,                 1.4439,                 1.6065,               0.008284,               0.008284,               0.008284
                     54,                 1.4347,                 1.0757,                   1.34,                0.68082,                0.64378,                0.65563,                0.28458,                 1.8095,                 1.4002,                 1.6483,               0.008251,               0.008251,               0.008251
                     55,                 1.4271,                 1.0697,                  1.327,                 0.6884,                0.65425,                0.65619,                0.28386,                  1.806,                 1.4631,                 1.6274,               0.008218,               0.008218,               0.008218
                     56,                 1.4517,                 1.0716,                 1.3544,                0.68755,                 0.6309,                0.63001,                 0.2815,                 1.8454,                 1.4453,                 1.5765,               0.008185,               0.008185,               0.008185
                     57,                 1.4166,                 1.0647,                 1.3278,                0.61465,                0.60926,                0.58619,                0.24762,                 1.9217,                 1.4621,                 1.7197,               0.008152,               0.008152,               0.008152
                     58,                 1.4181,                 1.0415,                 1.3256,                0.65661,                0.55805,                0.56454,                0.24074,                 1.8652,                 1.5567,                 1.6218,               0.008119,               0.008119,               0.008119
                     59,                 1.4232,                 1.0579,                 1.3342,                0.64938,                0.66094,                0.61353,                0.26699,                 1.8501,                 1.4697,                 1.6349,               0.008086,               0.008086,               0.008086
                     60,                 1.4155,                 1.0552,                 1.3291,                0.63059,                0.63519,                0.64243,                0.27613,                  1.875,                  1.488,                 1.6724,               0.008053,               0.008053,               0.008053
                     61,                 1.4044,                 1.0498,                 1.3329,                0.68021,                0.62992,                0.64595,                0.28703,                 1.8105,                 1.3979,                 1.6141,                0.00802,                0.00802,                0.00802
                     62,                 1.4054,                 1.0507,                 1.3078,                0.62439,                 0.6421,                0.65651,                0.28027,                 1.7943,                 1.4264,                 1.6054,               0.007987,               0.007987,               0.007987
                     63,                  1.364,                 1.0031,                 1.3026,                0.66149,                0.66524,                0.64518,                0.27516,                 1.8776,                 1.3984,                 1.7201,               0.007954,               0.007954,               0.007954
                     64,                 1.3826,                 1.0243,                 1.3027,                0.64734,                0.64807,                0.63301,                0.27188,                  1.916,                 1.4296,                 1.7172,               0.007921,               0.007921,               0.007921
                     65,                 1.3615,                0.98727,                 1.2976,                0.69444,                0.58798,                0.65212,                0.28028,                 1.8737,                 1.4371,                 1.6862,               0.007888,               0.007888,               0.007888
                     66,                 1.3751,                 1.0351,                 1.2966,                0.68901,                0.61803,                0.65358,                0.28857,                 1.8525,                 1.4548,                 1.6141,               0.007855,               0.007855,               0.007855
                     67,                 1.3443,                0.99984,                 1.3009,                 0.5719,                0.65236,                0.58585,                0.24033,                 1.9165,                 1.5512,                  1.727,               0.007822,               0.007822,               0.007822
                     68,                 1.3655,                 1.0027,                 1.3045,                  0.631,                 0.6165,                0.59476,                0.25625,                 1.9681,                 1.4075,                 1.7902,               0.007789,               0.007789,               0.007789
                     69,                 1.3173,                0.98344,                  1.281,                0.63281,                0.66953,                0.64089,                0.26962,                 1.9374,                 1.4134,                 1.7959,               0.007756,               0.007756,               0.007756
                     70,                 1.3296,                0.95059,                 1.2808,                0.67417,                0.60086,                0.62518,                0.28058,                 1.9584,                 1.4369,                 1.7716,               0.007723,               0.007723,               0.007723
                     71,                 1.3263,                0.94254,                 1.2751,                0.72449,                0.57511,                0.65042,                0.29512,                 1.8754,                 1.3256,                   1.65,                0.00769,                0.00769,                0.00769
                     72,                 1.3177,                0.94945,                 1.2658,                0.67763,                0.62661,                0.62087,                0.27296,                 1.9321,                  1.424,                 1.7687,               0.007657,               0.007657,               0.007657
                     73,                 1.3404,                0.94356,                 1.2791,                0.67133,                0.62661,                0.61889,                 0.2526,                 1.9942,                 1.3855,                 1.7838,               0.007624,               0.007624,               0.007624
                     74,                 1.3094,                 0.9177,                 1.2743,                0.71465,                0.66094,                0.66405,                0.29796,                  1.905,                 1.4259,                 1.7186,               0.007591,               0.007591,               0.007591
                     75,                 1.3152,                0.93014,                 1.2597,                0.67528,                0.69616,                0.64885,                0.29648,                  1.861,                 1.3812,                 1.6853,               0.007558,               0.007558,               0.007558
                     76,                 1.2723,                0.92572,                  1.255,                0.71308,                0.62931,                0.67079,                0.30519,                 1.8943,                 1.3493,                  1.749,               0.007525,               0.007525,               0.007525
                     77,                 1.2951,                0.93071,                 1.2701,                0.72217,                0.62475,                0.67071,                 0.2911,                 1.9142,                  1.367,                 1.7534,               0.007492,               0.007492,               0.007492
                     78,                 1.2893,                0.90718,                 1.2508,                 0.7057,                0.65865,                0.68014,                0.29568,                 1.8941,                 1.3989,                 1.7362,               0.007459,               0.007459,               0.007459
                     79,                 1.2653,                0.89784,                 1.2369,                0.72702,                0.63519,                0.67547,                0.31176,                 1.7878,                 1.3927,                 1.6708,               0.007426,               0.007426,               0.007426
                     80,                 1.2495,                0.89396,                 1.2319,                0.70559,                0.64807,                  0.657,                0.28712,                 1.9326,                 1.3915,                 1.7271,               0.007393,               0.007393,               0.007393
                     81,                 1.2381,                0.88568,                 1.2207,                 0.7523,                0.67382,                0.70232,                 0.3171,                  1.903,                 1.2242,                 1.7462,                0.00736,                0.00736,                0.00736
                     82,                 1.2318,                0.86413,                 1.2226,                0.71641,                0.69957,                0.67612,                0.31857,                 1.9376,                 1.2635,                 1.7993,               0.007327,               0.007327,               0.007327
                     83,                 1.2324,                0.86416,                 1.2218,                0.73127,                0.65236,                0.67559,                0.31015,                   1.98,                 1.2749,                 1.8009,               0.007294,               0.007294,               0.007294
                     84,                 1.2484,                0.85693,                 1.2224,                0.62507,                0.68692,                0.66664,                0.31642,                 1.9494,                 1.3374,                 1.7421,               0.007261,               0.007261,               0.007261
                     85,                 1.2316,                0.86991,                 1.2212,                 0.7518,                0.62232,                0.69178,                0.30899,                 1.9928,                 1.3084,                  1.794,               0.007228,               0.007228,               0.007228
                     86,                  1.258,                0.88819,                 1.2247,                0.68151,                0.66953,                0.64948,                0.29728,                 2.0078,                 1.3598,                 1.8414,               0.007195,               0.007195,               0.007195
                     87,                 1.2174,                0.85419,                 1.2169,                0.72409,                0.68708,                0.70556,                0.33029,                 1.9612,                 1.2344,                 1.7984,               0.007162,               0.007162,               0.007162
                     88,                 1.2113,                0.85209,                 1.2063,                0.71459,                0.63401,                0.66668,                0.30977,                  1.956,                 1.2956,                 1.8015,               0.007129,               0.007129,               0.007129
